,review,label,clean
76770,"Overall, build-nya bagus; kokoh. Cuma kaget aja pas nyampe kok 17"", kirain 15"". :v Buat harganya, kayanya susah nemu laptop lain dengan spek sama. Dan yang paling ketara itu built-in speakers-nya. Ngga nyangka bisa denger bass yang lumayan jernih dan berdentum (untuk sekelas speaker laptop), apalagi kalo ditaro di atas meja kayu. Ya, ini speaker-nya ada di bawah keyboard, menghadap ke meja. Performa sih ya sesuai spek. Kalo pun ada kekurangan ya di baterenya. Untuk spek agak sangar begini emang ngga bakal bisa dipake maen game full power kalo ngga dicolok. Ada bonus backpack juga dan meski bonus, ini backpack serius. Bisa muat macem² ampe tablet segala diluar laptop ama kabel + adaptor...kalo perlu bawa laptop cooler 17"" juga hayuk. Bahannya juga bagus, padding cukup, ada 3 kantong dengan zipper di luar, dan ada tempat botol minum yang adjustable juga.",Extremely Positive,overal buildnya bagus kokoh kaget saja pas sampai mengira v harga kayak susah menemukan laptop spek tara builtin speakersnya tidak menyangka dengar bas lumayan jernih dentum kelas speaker laptop kalau ditaruh meja kayu iya speakernya keyboard hadap meja performa sih iya sesuai spek kalau kurang iya baterenya spek sangar memang tidak dipakai main game ful power kalau tidak colok bonus backpack bonus backpack serius muat macam sampai tablet luar laptop sama kabel adaptor kalau bawa laptop coler hayuk bahanya bagus pading kantong ziper botol minum adjustable
14007,"pesanan sudah di terima, pengiriman lama 10 hari baru sampai tapi ngak papa lama sesuai sama ongkirnya murah",Extremely Positive,pesan terima kirim tidak papa sesuai ongkirnya murah
12718,Keren banget deh. Gak rugi beli Flashdisk ini,Extremely Positive,keren banget deh tidak rugi beli flashdisk
31722,"cepet bgd sampe... transfer baru kemaren sore eh dah sampe skrng... gak nyampe 24 jam prosesnya,,,, tp barang lom dicoba... mudah""an awet... thanks ya",Extremely Positive,cepat banget sampai transfer kemarin sore eh sudah sampai sekarang tidak sampai jam proses tetapi barang belum coba mudah awet terimakasih iya
55148,barang oke... sangat memuaskannnn,Extremely Positive,barang oke muas
70293,bagus bgt dan msih segel utuh.mksh,Extremely Positive,bagus banget masih segel utuh terimakasih
64378,"Barangnya bagus, pengiriman cepat, diajarin sampai bisa pokoknya bagus deh",Extremely Positive,barang bagus kirim cepat diajari pokok bagus deh
29066,barang bagus tdk kecewa dah.,Extremely Positive,barang bagus tidak kecewa sudah
72208,"keren baru pesen kemaren udah nyampe hari ini, thank you lazada and seler..",Extremely Positive,keren sen kemarin sudah sampai thank kamu lazada and seler
5490,"Barangnya nyampe lebih cepat dri estimasi pengirimannya, packagingnya rapih dan sangat bagus. Barangnya sendiri pun sesuai dengan yg di inginkan. Dua jempol deh dri saya",Extremely Positive,barang sampai cepat dari estimasi pengirimanya packagingnya rapi bagus barang sesuai yang jempol deh dari
5799,"Packing rapih, barang sesuai dengan yg di iklan pengiriman kurang dari seminggu  Thx reseller & lazada",Extremely Positive,packing rapi barang sesuai yang iklan kirim semingu terimakasih reseler lazada
62550,"barang bagus, masih awet sampai sekarang",Extremely Positive,barang bagus awet
51300,"untuk kualitas gambar dan audio sy rasa sudah oke banget dgn harga segini, ada screen mirror jg dan sdh mendukung tv digital (belum di tes sih). yg kurang cuma dari segi OS nya aja krn belum pure android tv jadi aplikasi dan games belum selengkap yg android tp klo diliat dari harga lagi ya sudah worthed menurut sy. dan satu lagi kalo putar media/film dari flashdisk suara yg dikeluarkan kecil jd harus diset lg ke level volume lebih tinggi. Tp overall cukup puas dgn tv ini.",Extremely Positive,kualitas gambar audio saya oke banget dengan harga gin scren miror juga sudah dukung televisi digital tes sih yang segi os nya saja karena pure android televisi aplikasi games lengkap yang android tetapi kalau lihat harga iya worthed saya kalau putar mediafilm flashdisk suara yang keluar jadi set lagi level volume tinggi tetapi overal puas dengan televisi
22727,mantap...ori..dan bergaransi..pengiriman cepat,Extremely Positive,mantap original garansi kirim cepat
34395,Mantab. Puas sama produknya,Extremely Positive,mantap puas produk
44260,MAntul,Extremely Positive,mantul
3065,pengiriman cepat. sesuai ekspektasi. penjual ramah.,Extremely Positive,kirim cepat sesuai ekspektasi jual ramah
25131,"pokonya mantap, Rekomendate....",Extremely Positive,pokok mantap rekomendate
15823,Barang sampai dalam sehari. Kurir sangat ramah dan sabar dalam delivery. Barang sesuai dengan iklan. Puas,Extremely Positive,barang hari kurir ramah sabar delivery barang sesuai iklan puas
30744,"Puas..Walaupun sedikit tertunda pengiriman tapi barang bagus, sesuai dengan Iklan.",Extremely Positive,puas tunda kirim barang bagus sesuai iklan
430,bagus barangnya⭐⭐⭐⭐⭐,Extremely Positive,bagus barang
22645,"senang berbelanja di sini ,ori dan super fast",Extremely Positive,senang belanja original super fast
40843,Barang memuaskan bagus banget,Extremely Positive,barang muas bagus banget
15225,"Alhamdulillaah tv nya cepat sampainya, da packing rapi gada lecet2 sedikitpun tv pun bagus pas nyobain di stel, terimakasih good seller and lazadaa😊",Extremely Positive,alhamdulillah televisi nya cepat sampai sudah packing rapi tidak ada lecet sedikit televisi bagus pas mencoba stel terimakasih god seler and lazada
73123,berfungsi dengan baik sekali... puas sekali,Extremely Positive,fungsi puas
69952,"bagus banget,sesuay",Extremely Positive,bagus banget sesuay
47929,Brang smpai di tngn dg bgus. Mksi lazada,Extremely Positive,brang sampai tangan dengan bagus terimakasih lazada
46517,kualitas untuk saat ini bagus dan smoga bisa awet..,Extremely Positive,kualitas saat bagus semoga awet
31939,Order yg ketiga kalinya. Mantap,Extremely Positive,order yang tiga kali mantap
48228,Bungkus dan pesawatnya ok top Xiomi mania cuma antar barang lama jadi terpaksa saya ambil sendiri digudang,Extremely Positive,bungkus pesawat oke top xiomi mania barang paksa ambil gudang
43283,pengiriman cepat barang bagus semoga awet,Extremely Positive,kirim cepat barang bagus moga awet
21739,Saya puas deh belanja di lazada..barang sesuai...tepat waktu n bagus,Extremely Positive,puas deh belanja lazada barang sesuai dan bagus
49185,"barang sudah di terima sesuai pesanan,,,packing yg juga rapi,,,semoga awet dah",Extremely Positive,barang terima sesuai pesan packing yang rapi moga awet sudah
77252,Barang bagus harga murah..,Extremely Positive,barang bagus harga murah
43986,oke.....,Extremely Positive,oke
25654,"flashdisk yang unik dan lucu mempunyai daya tarik mata yg melihat dan ingin memilikinya, namun flashdisk ini hanya memuat 15GB, barang juga bekerja sangat baik dan membaca, terima kasih saya sangat puas dengan produk yg satu ini",Extremely Positive,flashdisk unik lucu daya tarik mata yang milik flashdisk muat gb barang baca terima kasih puas produk yang
26663,ga pke lama..kiriman langsung dtang,Extremely Positive,tidak pakai kirim langsung datang
25125,Produk yang sangat direkomendasikan .Untuk kurir sangat ramah .Pengiriman sesuai estimasi.,Extremely Positive,produk rekomendasi kurir ramah kirim sesuai estimasi
27699,Produk original,Extremely Positive,produk original
78558,mantap harga murah speed nya kenceng.,Extremely Positive,mantap harga murah sped nya cepat
32538,good brng sesuai di gmbr trmksh lazada.sukses sllu,Extremely Positive,god brng sesuai gambar trmksh lazada sukses selalu
51378,Pengiriman Aman 4 hari sampai. Semua fungsi normal. Hanya saja untuk penerimaan siaran tv analog kalah jernih dengan tv tabung di rumah dengan saluran antena yg sama. Untuk penerimaan tv digital bagus. Semoga awet .. Aamiin,Extremely Positive,kirim aman fungsi normal rim siar televisi analog kalah jernih televisi tabung rumah salur antena yang rim televisi digital bagus moga awet amin
75460,mantaap kualitas gampar dan model keren abis mejannya blom ada 🤣,Extremely Positive,mantap kualitas gampar model keren habis meja belum
1598,"barangnya sesuai, satu hari langsung sampai :)",Extremely Positive,barang sesuai langsung
650,"Diresponnya cepat, 2 hari datang, USB nya gak mengecewakan, sama kayak yang digambar",Extremely Positive,diresponya cepat usb nya tidak kecewa seperti gambar
41740,terima kasih ASUS paket diterima dengan selamat dan sesuai yang di harapkan!!! good LAZADA,Extremely Positive,terima kasih asus paket terima selamat sesuai harap god lazada
24733,makasih barang sudah sampai..tadi sore..lengkap..mantap..saya kasih 5 bintang lsg,Extremely Positive,terimakasih barang sore lengkap mantap kasih bintang langsung
27188,"pengiriman cepat sampai dan barang sesuai dengan pesanan,trima kasih.",Extremely Positive,kirim cepat barang sesuai pesan terima kasih
23293,"barangnya sampai dsn sesuai dengan spek, keren",Extremely Positive,barang dsn sesuai spek keren
68019,"Paket diterima sesuai estimasi. Isinya lengkap, termasuk bonus hard case dan cable case (meski bentuknya lebih mirip wadah alat tulis). Paket dilapisi bubble wrap dan kardus, hanya saja tanda pengiriman yang ditempel di luar kardus luntur akibat hujan. Paket sesuai deskripsi dan pilihan warna. Memuaskan!",Extremely Positive,paket terima sesuai estimasi isi lengkap bonus hard case cable case bentuk wadah alat tulis paket lapis buble wrap kardus tanda kirim tempel kardus luntur akibat hujan paket sesuai deskripsi pilih warna muas
37677,Barang Baru & Original ! mantaps semoga bermanfaat,Extremely Positive,barang original mantap moga bermanfat
29571,mendarat dengan baik tanpa cacat,Extremely Positive,darat cacat
18115,"Buat yg butuh flashdisk murah segera kesini aja, harga murah, cepat sampai dan barang ori, trimakasih",Extremely Positive,yang butuh flashdisk murah kesini saja harga murah cepat barang original trimakasih
69426,"bagus, kapasitas real. trims gan",Extremely Positive,bagus kapasitas real terima kasih juragan
51340,sudah sampai semoga awet,Extremely Positive,moga awet
55988,Laptop diterima dgn baik...top lazada,Extremely Positive,laptop terima dengan top lazada
63962,"barang sampai dengan selamat dan belum di coba...semoga bisa dan awet, terima kasih",Extremely Positive,barang selamat coba moga awet terima kasih
30096,work...cum port otg nya gak sesuai dgn hp ku jd tetep beli kabel otg nya.tp gpp yg ptg normal...mksh .....mantapppp...daebakkk,Extremely Positive,bekerja cum port otg nya tidak sesuai dengan hp ku jadi tetap beli kabel otg nya tetapi gp yang ptg normal terimakasih mantap daebak
19317,brng bgs sesuai pic  mksh lazada,Extremely Positive,brng bagus sesuai pic terimakasih lazada
63572,"Terima kasih, barang pesanan sudah diterima dalam keadaan baik dan dapat berfungsi dengan baik.",Extremely Positive,terima kasih barang pesan terima adan fungsi
13964,Bmm.,Extremely Positive,bbm
50542,pertama kali beli tv online..was was takut😊packing ngeri ..giliran dibuka bagus gak ada cacat sama sekali,Extremely Positive,kali beli televisi online was was takut packing ngeri gilir buka bagus tidak cacat
16280,TV berfungsi dengan baik bisa melihat keindahan dunia didalamnya,Extremely Positive,televisi fungsi indah dunia dalam
8650,"barang kwalitas baik,cuma lama pengirimannya..tingkatkan pelayanannya",Extremely Positive,barang kwalitas pengirimanya tingkat pelayanannya
67747,mntap brang nyaa.,Extremely Positive,mantap brang nya
8423,Mantab.tapi jadinya dipake anak saya krn dia suka banget,Extremely Positive,mantap dipakai anak karena suka banget
63881,packing bagus pake kayu dan laptop berfungsi dengan baik,Extremely Positive,packing bagus pakai kayu laptop fungsi
1143,Barang nya sudah dikirim makasih,Extremely Positive,barang nya kirim terimakasih
65740,barang aman..  gak ada lecet atau pun rusak,Extremely Positive,barang aman tidak lecet rusak
53789,wah... lama.... tak sesuai estimasi tgl 17 sampe 24an jd ga seru...,Extremely Positive,sesuai estimasi tanggal sampai an jadi tidak seru
20625,"Bagus murah, kwalitas gak murahan lho",Extremely Positive,bagus murah kwalitas tidak murah lho
23173,"selama pakai bagus, yang penting ori",Extremely Positive,pakai bagus original
40238,"Pesanan barang datang dalam 1 hari, packaging rapih,pengiriman tepat lokasinya.fungsional belum di test.Thanks Lazadaa",Extremely Positive,pesan barang packaging rapi kirim lokasi fungsional test terimakasih lazada
56299,sesuai deskripsi skrg lg di test.. semoga tidak ada sesuatu yg tidak diinginkan..,Extremely Positive,sesuai deskripsi sekarang lagi test moga yang dingin
17347,sesuai gambar dan sangat cepat....,Extremely Positive,sesuai gambar cepat
44225,barang baagus...pengemasan rapi kurir ramah terima kasih lazada,Extremely Positive,barang bagus emas rapi kurir ramah terima kasih lazada
26380,Sudah 3 kali beli barang di lazada pengiriman nya sangat rapih dan bagus. Terima kasih atas pelayanan nya tingkat kan terus,Extremely Positive,kali beli barang lazada kirim nya rapi bagus terima kasih layan nya tingkat
8558,barang bagus.. kualitas ok.,Extremely Positive,barang bagus kualitas oke
48092,"untuk barang kualitas ok, tidak ada cacat walau cuman d packing pake bubble wrap saja.  utuk pengiriman super duper lama,",Extremely Positive,barang kualitas oke cacat cuma ada packing pakai buble wrap utuk kirim super duper
52685,mancap,Extremely Positive,mancap
37960,Alhamdulillah barang nyampe kemaren dg aman. pesen tanggal 16 nyampe tanggal 21. cuma kurirnya agak kurang sopan sedikit hehe.,Extremely Positive,alhamdulillah barang sampai kemarin dengan aman sen tangal sampai tangal kurir sopan he
43545,"barang ternyata dipaking kayu, penjual respon cepat banget padahal saya dari medan pesan sore hari pesan besok pagi uda sampe dari jakarta ditraking malam uda sampe medan , luar biasa penjualnya profesional, rekomended pesan ini , kurir juga ramah sampe ikutan bantu masang tv saya tes apakah bagus atau tidak. inilah pelayanan paling bagus menurut saya .",Extremely Positive,barang paking kayu jual respon cepat banget medan pesan sore pesan besok pagi sudah sampai jakarta ditraking malam sudah sampai medan jual profesional rekomended pesan kurir ramah sampai ikut bantu memasang televisi tes bagus layan bagus
60651,Joss barangnya cepet sampe,Extremely Positive,jos barang cepat sampai
29346,"polytron cintailah produk "" Indonesia",Extremely Positive,polytron cinta produk indonesia
59824,"Seperti comment yg lain, pengiriman tanpa packing kayu bikin was2..",Extremely Positive,komen yang kirim packing kayu bikin was
74726,"Barang sdh diterima dengan kondisi baik, sesuai harapan... Respond cepat + gratis OTG lagi... Very good n recommended seller... Thx Lazada",Extremely Positive,barang sudah terima kondisi sesuai harap respond cepat gratis otg very god dan recomended seler terimakasih lazada
54110,"kiriman barang cepat, tapi CD driver nggak ada sehingga ada fungsi yg tidak bisa di pakai, bisa kirimkan CD driver laptop nya?",Extremely Positive,kirim barang cepat celana dalam driver tidak sehinga fungsi yang pakai kirim celana dalam driver laptop nya
588,"Paket sudah saya terima, terlambat sedikit pengirimannya tapi tidak apa apa. Thanks​ Lazada",Extremely Positive,paket terima lambat pengirimanya terimakasih lazada
18548,Barang cepat direspon dan cepat pengantarannya,Extremely Positive,barang cepat direspon cepat antara
15965,"barang sesuai pesanan saya, bagus",Extremely Positive,barang sesuai pesan bagus
17385,Aman gans,Extremely Positive,aman ganteng
79719,"bagus, tahan dan kuat.",Extremely Positive,bagus tahan kuat
6557,besar,Extremely Positive,
22911,barang bagus saya pakai transfer data juga ngebut,Extremely Positive,barang bagus pakai transfer data mengebut
66489,puas banget pokonyaaa...tp blm di coba buat d setel sih,Extremely Positive,puas banget pokok tetapi belum coba ada setel sih
39927,blm sy cb tp yakin mantul...ini bli untuk ksekian kali,Extremely Positive,belum saya coba tetapi mantul beli ksekian kali
50148,"Pengiriman menggunakan NinjaXpress dan selamat sampe tujuan tidak retak pecah atau hancur. Digambar perbandingan ukuran dengan Samsung LED 43"". Secara kualitas gambar emang jauh dengan samsung tapi mengingat harganya segini oke banget. Buat yang komplain gabisa pake USB atau yang bilang ga keluar menu usb di source coba tolong dicek lagi buku manualnya. Ini adalah SmartTV, masa orangnya ga smart XD. Cara nonton atau view dari USB langsung pake menu media atau pake aplikasi tambahan kaya MX Player. Untuk kualitas suara standar2 aja, tapi ga punya jack aux. Miracast juga lancar. Oke banget :)",Extremely Positive,kirim menggunakan ninjaxpres selamat sampai tuju retak pecah hancur gambar banding ukur samsung led kualitas gambar memang samsung harga gin oke banget komplain tidak bisa pakai usb bilang tidak menu usb source coba tolong cek buku manual smarttv orang tidak smart xd menonton view usb langsung pakai menu media pakai aplikasi tambah kayak mx player kualitas suara standar saja tidak jack aux miracast lancar oke banget
50193,"untuk kepuasan harga 3jtan cukup puas, tapi untuk tenologi dan fiturnya dibanding brand terkenal lainya kurang komplit, seperti pengaturan pencahayaan, gambar, dll. tp kembali lg ke harganya yg ekonomis ya cukup memuaskan dengan fungsi yg ada. hanya untuk netflix ternyata tidak bisa digunakan. tp masih ada aplikasi internet tv yg lain bisa work di Download.",Extremely Positive,puas harga jtan puas tenologi fiturnya banding brand kenal lai komplit atur pencahayan gambar dulu tetapi lagi harga yang ekonomis iya muas fungsi yang netflix tetapi aplikasi internet televisi yang bekerja download
21750,Sdh pernah beli produk sandisk..tdk diragukan kualitasnya,Extremely Positive,sudah beli produk sandisk tidak ragu kualitas
44098,mantap kali tv nya,Extremely Positive,mantap kali televisi nya
79922,"Ori bg,,makasiii",Extremely Positive,original bang makas
22633,barang sangat bagus ..  makasih samsung and lazada ....,Extremely Positive,barang bagus terimakasih samsung and lazada
22707,Sdh dicoba dan sesuai spec. Yg pasti ORI 👍,Extremely Positive,sudah coba sesuai spec yang original
27318,"Sesuai dengan pemesanan, dan hadiah2nya juga semua ada sesuai yang dijanjikan, packing kurang rapi sihh kalau bisa dipacking pake box supaya lebih rapi, tapi lumayan puas, thx",Extremely Positive,sesuai mesan hadiah sesuai janji packing rapi sih dipacking pakai box rapi lumayan puas terimakasih
63205,"alhamdulilah paketnya udah sampe, barangnya bagus,packingnya juga rapi, mudah2an TV nya awet, terimakasih lazada dan seller.",Extremely Positive,alhamdulillah paket sudah sampai barang bagus packingnya rapi mudah televisi nya awet terimakasih lazada seler
28220,"barang diterima dgn waktu yg cepat, teryata barang bermasalah, sudah saya selesaikan sendiri dgn distributor seagate dan diberikan pergantian barang yang baru, artinya barang terverifikasi masih dalam garansi.",Extremely Positive,barang terima dengan yang cepat teryata barang masalah selesai dengan distributor seagate ganti barang barang verifikasi garansi
80949,barangnya oke pisan kedepanya sy mau bli yg lbh gede Gnya tunggu ya,Extremely Positive,barang oke damai depa saya beli yang lebih besar gnya tunggu iya
66860,"Bagus,murah tapi berkualitas",Extremely Positive,bagus murah kualitas
10219,"Barang Sudah sampai, Packing Rapi, Bonus ada semua, Dicoba langsung Joss.. Recomended banget lah untuk agan yang satu ini..",Extremely Positive,barang packing rapi bonus coba langsung jos recomended banget agan
72094,Flesdisk jelek gak bisa d pake eror saya sangat kecewa,Extremely Positive,flesdisk jelek tidak ada pakai eror kecewa
16981,pesanan lebih cepat sampai dan sesuatu pesanan,Extremely Positive,pesan cepat pesan
42549,Good jobs kiriman aman dan tepat waktu,Extremely Positive,god jobs kirim aman
40340,barang mulus & pengiriman sesuai estimasi 👍,Extremely Positive,barang mulus kirim sesuai estimasi
60358,maaf lambat ngasih ulasan. TV nya Bagus dan pengirimannya juga cepat,Extremely Positive,maaf lambat memberi ulas televisi nya bagus pengirimanya cepat
37851,karena barang original jadi jelas berfungsi dengan baik. pengiriman cepat,Extremely Positive,barang original fungsi kirim cepat
19301,Barangnya original. Sesuai ekspektasi saya,Extremely Positive,barang original sesuai ekspektasi
30664,"Pengiriman cepat, barang mantap.",Extremely Positive,kirim cepat barang mantap
26219,"Barang sudah sampai Sesuai pesanan saya, Pengiriman cepat cuma 4 Hari, Barang sudah di cek dan berjalan normal, Gak nyesel deh beli disini makasih 😁😁🤣",Extremely Positive,barang sesuai pesan kirim cepat barang cek jalan normal tidak menyesal deh beli terimakasih
50909,mantuulllll,Extremely Positive,mantul
51058,mantap pengiriman dan respon penjual cepet... kalo beli barang ini saran dari saya waktu kurirnya sampe di buka dulu bareng kurirnya biar komplain nya lebih enak,Extremely Positive,mantap kirim respon jual cepat kalau beli barang saran kurir sampai buka bareng kurir biar komplain nya enak
47992,Tepatnya 26 Maret 2019 pukul 10.00 pagi Dell sampai ditangan saya.... setelah menunggu dan menunggu... dan akhirnya. setelah di coba barang berfungsi dgn baik dan bagus.... Thanks Lazada & Dell Indonesia & J&T....,Extremely Positive,tepat maret pagi del tang tunggu tunggu coba barang fungsi dengan bagus terimakasih lazada del indonesia juta
26000,Produk baik dan smoga kualitas juga baik...dan proses pengiriman juga sangat cepat dri estimasi....harga yg cukup bersahabat....smoga lazada trus dapat menjaga kepercayaan konsumen yang berbelanja di Lazada dgn menjaga kualitas sbuah Produk tdk cacat ketika sampai ditangan konsumen....tkx lazada...sukses selalu,Extremely Positive,produk semoga kualitas proses kirim cepat dari estimasi harga yang sahabat semoga lazada terus jaga kepercayaan konsumen belanja lazada dengan jaga kualitas sebuah produk tidak cacat tang konsumen tkx lazada sukses
19225,"alhamdulillah barang datang dengan selamat,trimakasih gan",Extremely Positive,alhamdulillah barang selamat trimakasih juragan
33473,ext hdd-nya berfungsi dengan baik.,Extremely Positive,ext hdnya fungsi
16544,Kiriman pesanan cepat dan dibungkus Bible Warpostel. Semoga TVnya awet,Extremely Positive,kirim pesan cepat bungkus bible warpostel moga tvnya awet
42667,"bagus tvnya, murah juga dan kualitas menyesuaikan harga, coba aja udah bisa digital 😂, mau sambungin layar hp ke tvnya gimana ya? jangan lupa bonus paket hooq sama iflix hehe",Extremely Positive,bagus tvnya murah kualitas sesuai harga coba saja sudah digital sambungin layar hp tvnya bagaimana iya lupa bonus paket hoq iflix he
72397,thanks it is what I want,Extremely Positive,terimakasih itu is apa i ingin
40817,TCL kualitas no. 1. pengiriman cepat harga jempol murah nya hatur nuhun,Extremely Positive,tcl kualitas nomor kirim cepat harga jempol murah nya hatur nuhun
73089,gk sampai 24 jam barang tiba.. di Binjai Provinsi sumatera Utara.. mantap,Extremely Positive,tidak jam barang binjai provinsi sumatera utara mantap
23318,barang bagus sudah 6bulan ga ada masalah. cuman agak nyesel aja habis beli ternyata harga memory turun derastis. skrng jadi murah. but ini rekomeneded,Extremely Positive,barang bagus tidak cuma menyesal saja habis beli harga memory turun derastis sekarang murah but rekomeneded
42775,"pesan tanggal 15 jan, tanggal 17 jan sampai. produk diterima dalam keadaan baik dan lsg dpt gratis 3 bln hooq.",Extremely Positive,pesan tangal jangan tangal jangan produk terima adan langsung dapat gratis bulan hoq
67044,"mantul dapet pas promo, 2 hari sampe. top deh",Extremely Positive,mantul dapat pas promo sampai top deh
33754,"Barang bagus lah pokoknya, sempurna, plus murah. Sukses trs gan.",Extremely Positive,barang bagus pokok sempurna plus murah sukses terus juragan
46574,Josss mantap,Extremely Positive,jos mantap
65220,"mantap, semoga barang nya awet sampai punya anak cucu",Extremely Positive,mantap moga barang nya awet anak cucu
1856,"sesuai pesanan,recommended",Extremely Positive,sesuai pesan recomended
67633,Pas bgt 😘,Extremely Positive,pas banget
46518,Cukup memuaskan..,Extremely Positive,muas
63651,"Produk maaaantul.... pengiriman cecep, recommended!",Extremely Positive,produk mantul kirim cecep recomended
52445,sukak imut kecil beud... dan barang sampai dengan selamat... cuma isi nya jdi berkurang gtu ta cuma ad 14.60 Gb daong... tp gpp over all i like it,Extremely Positive,suka imut banget barang selamat isi nya jadi kurang begitu ta ada gb daong tetapi gp over al i like itu
65636,"Unit Ok sesuai dengan deskripsi, pengiriman cepat & Packing sangat safety. The Best Of Seller",Extremely Positive,unit oke sesuai deskripsi kirim cepat packing safety the best of seler
20944,praktis,Extremely Positive,praktis
11042,barangnya bagus & tersegel,Extremely Positive,barang bagus segel
16164,"Terbaik untuk tv dengan harga tsb. Layar,built quality lumayan... sayang speakernya kurang menggelegar. Tapi untuk tv harga dibawah 2 juta udah bagus banget.",Extremely Positive,baik televisi harga tersebut layar built kualitas lumayan sayang speakernya legar televisi harga bawah juta sudah bagus banget
63624,"Barang sudah sampai. Packing aman dan rapi, produk original, masih segel, sesuai gambar, spesifikasinya sesuai, waktu pengiriman normal (3hari), terima kasih lazada & Asus",Extremely Positive,barang packing aman rapi produk original segel sesuai gambar spesifikasi sesuai kirim normal terima kasih lazada asus
38014,"Respon cepat, barang sesuai dan cepat sampai",Extremely Positive,respon cepat barang sesuai cepat
46276,Gambar bagus dan soal harga murah di kelas nya.,Extremely Positive,gambar bagus harga murah kelas nya
53052,"flashdisk ok, sesuai deskripsi",Extremely Positive,flashdisk oke sesuai deskripsi
41363,"mantap cepat, kurir ramah",Extremely Positive,mantap cepat kurir ramah
48649,Sampai sesuai brg bgs masih pelajari future2 nya,Extremely Positive,sesuai barang bagus ajar future nya
78640,tes,Extremely Positive,tes
13580,Bagus pelayanan dan barangnya,Extremely Positive,bagus layan barang
67884,barang uda ada cepat dan beli 2 dapat 10,Extremely Positive,barang sudah cepat beli
46040,Berkat tv ini keluarga saya tambah harmonis dan intim. Terima kasih lazada saya jadi di ciumin istri terus,Extremely Positive,berkat televisi keluarga harmonis intim terima kasih lazada ciumin istri
